date, price
11/9/2002,39.85 
12/9/2002,39.85 
13/9/2002,38.77 
16/9/2002,37.70 
17/9/2002,38.42 
18/9/2002,37.52 
19/9/2002,37.17 
20/9/2002,36.27 
23/9/2002,35.66 
24/9/2002,35.24 
25/9/2002,35.31 
26/9/2002,36.81 
27/9/2002,36.81 
30/9/2002,35.24 
1/10/2002,35.24 
2/10/2002,34.88 
3/10/2002,33.45 
4/10/2002,33.45 
7/10/2002,33.09 
8/10/2002,33.02 
9/10/2002,33.52 
10/10/2002,32.45 
11/10/2002,32.95 
14/10/2002,32.95 
15/10/2002,35.31 
16/10/2002,35.31 
17/10/2002,36.27 
18/10/2002,37.17 
21/10/2002,36.63 
22/10/2002,36.99 
23/10/2002,38.06 
24/10/2002,38.42 
25/10/2002,38.42 
28/10/2002,39.49 
29/10/2002,38.06 
30/10/2002,37.17 
31/10/2002,36.99 
1/11/2002,36.99 
4/11/2002,38.95 
5/11/2002,38.24 
6/11/2002,38.06 
7/11/2002,38.59 
8/11/2002,38.42 
11/11/2002,37.52 
12/11/2002,36.99 
13/11/2002,37.52 
14/11/2002,38.59 
15/11/2002,39.67 
18/11/2002,39.49 
19/11/2002,39.67 
20/11/2002,39.85 
21/11/2002,40.02 
22/11/2002,40.56 
25/11/2002,40.74 
26/11/2002,40.38 
27/11/2002,39.67 
28/11/2002,41.28 
29/11/2002,40.92 
2/12/2002,40.92 
3/12/2002,41.10 
4/12/2002,40.02 
5/12/2002,40.02 
6/12/2002,39.85 
9/12/2002,39.13 
10/12/2002,38.77 
11/12/2002,38.42 
12/12/2002,38.24 
13/12/2002,37.70 
16/12/2002,37.88 
17/12/2002,38.24 
18/12/2002,36.99 
19/12/2002,37.34 
20/12/2002,37.34 
23/12/2002,37.34 
24/12/2002,37.17 
25/12/2002,37.17 
26/12/2002,37.17 
27/12/2002,36.09 
30/12/2002,35.59 
31/12/2002,36.27 
1/1/2003,36.27 
2/1/2003,36.09 
3/1/2003,37.52 
6/1/2003,37.70 
7/1/2003,37.52 
8/1/2003,37.70 
9/1/2003,37.70 
10/1/2003,37.88 
13/1/2003,38.24 
14/1/2003,38.24 
15/1/2003,38.59 
16/1/2003,37.52 
17/1/2003,36.63 
20/1/2003,36.09 
21/1/2003,36.27 
22/1/2003,36.81 
23/1/2003,37.17 
24/1/2003,36.81 
27/1/2003,36.09 
28/1/2003,36.45 
29/1/2003,36.09 
30/1/2003,36.45 
31/1/2003,36.45 
3/2/2003,36.45 
4/2/2003,35.91 
5/2/2003,35.24 
6/2/2003,34.88 
7/2/2003,34.24 
10/2/2003,34.88 
11/2/2003,34.88 
12/2/2003,35.91 
13/2/2003,35.02 
14/2/2003,34.88 
17/2/2003,36.09 
18/2/2003,36.45 
19/2/2003,36.99 
20/2/2003,36.45 
21/2/2003,35.74 
24/2/2003,35.52 
25/2/2003,34.59 
26/2/2003,34.59 
27/2/2003,35.09 
28/2/2003,35.02 
3/3/2003,35.59 
4/3/2003,34.88 
5/3/2003,34.66 
6/3/2003,33.95 
7/3/2003,33.38 
10/3/2003,32.16 
11/3/2003,31.59 
12/3/2003,31.73 
13/3/2003,31.23 
14/3/2003,31.95 
17/3/2003,31.30 
18/3/2003,32.09 
19/3/2003,34.02 
20/3/2003,34.24 
21/3/2003,33.66 
24/3/2003,32.95 
25/3/2003,32.81 
26/3/2003,32.66 
27/3/2003,31.95 
28/3/2003,31.95 
31/3/2003,30.80 
1/4/2003,31.02 
2/4/2003,31.23 
3/4/2003,30.59 
4/4/2003,31.52 
7/4/2003,32.23 
8/4/2003,31.73 
9/4/2003,30.45 
10/4/2003,30.16 
11/4/2003,30.09 
14/4/2003,29.37 
15/4/2003,29.95 
16/4/2003,30.02 
